УНОМ,DATE_WEEK,класс,число секций,год постройки,Количество этажей,Количество квартир,Износ объекта (по БТИ),Количество пассажирских лифтов,Количество грузопассажирских лифтов
8423.0,Воскресенье,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Вторник,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Понедельник,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Пятница,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Среда,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Суббота,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8423.0,Четверг,жилые,4,1960,5,80.0,-1.0,0.0,0.0
8427.0,Воскресенье,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Вторник,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Понедельник,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Пятница,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Среда,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Суббота,жилые,4,1960,5,79.0,0.0,0.0,0.0
8427.0,Четверг,жилые,4,1960,5,79.0,0.0,0.0,0.0
12174.0,Воскресенье,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Вторник,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Понедельник,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Пятница,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Среда,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Суббота,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12174.0,Четверг,жилые,2,1978,16,204.0,-1.0,2.0,2.0
12176.0,Воскресенье,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Вторник,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Понедельник,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Пятница,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Среда,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Суббота,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12176.0,Четверг,жилые,4,1975,9,143.0,-1.0,4.0,0.0
12177.0,Воскресенье,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Вторник,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Понедельник,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Пятница,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Среда,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Суббота,жилые,4,1975,9,144.0,15.0,4.0,0.0
12177.0,Четверг,жилые,4,1975,9,144.0,15.0,4.0,0.0
12178.0,Воскресенье,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Вторник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Понедельник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Пятница,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Среда,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Суббота,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12178.0,Четверг,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Воскресенье,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Вторник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Понедельник,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Пятница,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Среда,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Суббота,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12179.0,Четверг,жилые,4,1975,9,144.0,-1.0,4.0,0.0
12180.0,Воскресенье,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Вторник,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Понедельник,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Пятница,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Среда,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Суббота,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12180.0,Четверг,жилые,2,1979,16,206.0,-1.0,2.0,2.0
12182.0,Воскресенье,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Вторник,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Понедельник,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Пятница,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Среда,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Суббота,жилые,2,1976,9,178.0,4.0,2.0,0.0
12182.0,Четверг,жилые,2,1976,9,178.0,4.0,2.0,0.0
12183.0,Воскресенье,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Вторник,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Понедельник,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Пятница,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Среда,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Суббота,жилые,2,1976,9,174.0,15.0,2.0,0.0
12183.0,Четверг,жилые,2,1976,9,174.0,15.0,2.0,0.0
12184.0,Воскресенье,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Вторник,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Понедельник,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Пятница,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Среда,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Суббота,жилые,1,1979,16,110.0,-1.0,1.0,1.0
12184.0,Четверг,жилые,1,1979,16,110.0,-1.0,1.0,1.0
13634.0,Воскресенье,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Вторник,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Понедельник,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Пятница,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Среда,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Суббота,жилые,4,1976,12,191.0,16.0,8.0,0.0
13634.0,Четверг,жилые,4,1976,12,191.0,16.0,8.0,0.0
13635.0,Воскресенье,жилые,4,1975,12,191.0,16.0,8.0,0.0
13635.0,Вторник,жилые,4,1975,12,191.0,16.0,8.0,0.0
13635.0,Понедельник,жилые,4,1975,12,191.0,16.0,8.0,0.0
13635.0,Пятница,жилые,4,1975,12,191.0,16.0,8.0,0.0
13635.0,Среда,жилые,4,1975,12,191.0,16.0,8.0,0.0
13635.0,Суббота,жилые,4,1975,12,191.0,16.0,8.0,0.0
13635.0,Четверг,жилые,4,1975,12,191.0,16.0,8.0,0.0
13637.0,Воскресенье,жилые,4,1976,12,191.0,0.0,8.0,0.0
13637.0,Вторник,жилые,4,1976,12,191.0,0.0,8.0,0.0
13637.0,Понедельник,жилые,4,1976,12,191.0,0.0,8.0,0.0
13637.0,Пятница,жилые,4,1976,12,191.0,0.0,8.0,0.0
13637.0,Среда,жилые,4,1976,12,191.0,0.0,8.0,0.0
13637.0,Суббота,жилые,4,1976,12,191.0,0.0,8.0,0.0
13637.0,Четверг,жилые,4,1976,12,191.0,0.0,8.0,0.0
13638.0,Воскресенье,жилые,8,1977,12,381.0,11.0,16.0,0.0
13638.0,Вторник,жилые,8,1977,12,381.0,11.0,16.0,0.0
13638.0,Понедельник,жилые,8,1977,12,381.0,11.0,16.0,0.0
13638.0,Пятница,жилые,8,1977,12,381.0,11.0,16.0,0.0
13638.0,Среда,жилые,8,1977,12,381.0,11.0,16.0,0.0
13638.0,Суббота,жилые,8,1977,12,381.0,11.0,16.0,0.0
13638.0,Четверг,жилые,8,1977,12,381.0,11.0,16.0,0.0
13639.0,Воскресенье,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13639.0,Вторник,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13639.0,Понедельник,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13639.0,Пятница,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13639.0,Среда,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13639.0,Суббота,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13639.0,Четверг,жилые,4,1976,12,191.0,-1.0,8.0,0.0
13641.0,Воскресенье,жилые,4,1977,12,191.0,16.0,8.0,0.0
13641.0,Вторник,жилые,4,1977,12,191.0,16.0,8.0,0.0
13641.0,Понедельник,жилые,4,1977,12,191.0,16.0,8.0,0.0
13641.0,Пятница,жилые,4,1977,12,191.0,16.0,8.0,0.0
13641.0,Среда,жилые,4,1977,12,191.0,16.0,8.0,0.0
13641.0,Суббота,жилые,4,1977,12,191.0,16.0,8.0,0.0
13641.0,Четверг,жилые,4,1977,12,191.0,16.0,8.0,0.0
13642.0,Воскресенье,жилые,8,1977,12,381.0,18.0,16.0,0.0
13642.0,Вторник,жилые,8,1977,12,381.0,18.0,16.0,0.0
13642.0,Понедельник,жилые,8,1977,12,381.0,18.0,16.0,0.0
13642.0,Пятница,жилые,8,1977,12,381.0,18.0,16.0,0.0
13642.0,Среда,жилые,8,1977,12,381.0,18.0,16.0,0.0
13642.0,Суббота,жилые,8,1977,12,381.0,18.0,16.0,0.0
13642.0,Четверг,жилые,8,1977,12,381.0,18.0,16.0,0.0
13643.0,Воскресенье,жилые,4,1977,12,191.0,0.0,8.0,0.0
13643.0,Вторник,жилые,4,1977,12,191.0,0.0,8.0,0.0
13643.0,Понедельник,жилые,4,1977,12,191.0,0.0,8.0,0.0
13643.0,Пятница,жилые,4,1977,12,191.0,0.0,8.0,0.0
13643.0,Среда,жилые,4,1977,12,191.0,0.0,8.0,0.0
13643.0,Суббота,жилые,4,1977,12,191.0,0.0,8.0,0.0
13643.0,Четверг,жилые,4,1977,12,191.0,0.0,8.0,0.0
13644.0,Воскресенье,жилые,2,1977,16,207.0,14.0,2.0,2.0
13644.0,Вторник,жилые,2,1977,16,207.0,14.0,2.0,2.0
13644.0,Понедельник,жилые,2,1977,16,207.0,14.0,2.0,2.0
13644.0,Пятница,жилые,2,1977,16,207.0,14.0,2.0,2.0
13644.0,Среда,жилые,2,1977,16,207.0,14.0,2.0,2.0
13644.0,Суббота,жилые,2,1977,16,207.0,14.0,2.0,2.0
13644.0,Четверг,жилые,2,1977,16,207.0,14.0,2.0,2.0
15083.0,Воскресенье,жилые,3,1972,9,144.0,31.0,3.0,0.0
15083.0,Вторник,жилые,3,1972,9,144.0,31.0,3.0,0.0
15083.0,Понедельник,жилые,3,1972,9,144.0,31.0,3.0,0.0
15083.0,Пятница,жилые,3,1972,9,144.0,31.0,3.0,0.0
15083.0,Среда,жилые,3,1972,9,144.0,31.0,3.0,0.0
15083.0,Суббота,жилые,3,1972,9,144.0,31.0,3.0,0.0
15083.0,Четверг,жилые,3,1972,9,144.0,31.0,3.0,0.0
15084.0,Воскресенье,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15084.0,Вторник,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15084.0,Понедельник,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15084.0,Пятница,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15084.0,Среда,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15084.0,Суббота,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15084.0,Четверг,жилые,2,1972,9,72.0,-1.0,2.0,0.0
15085.0,Воскресенье,жилые,2,1972,9,72.0,25.0,2.0,0.0
15085.0,Вторник,жилые,2,1972,9,72.0,25.0,2.0,0.0
15085.0,Понедельник,жилые,2,1972,9,72.0,25.0,2.0,0.0
15085.0,Пятница,жилые,2,1972,9,72.0,25.0,2.0,0.0
15085.0,Среда,жилые,2,1972,9,72.0,25.0,2.0,0.0
15085.0,Суббота,жилые,2,1972,9,72.0,25.0,2.0,0.0
15085.0,Четверг,жилые,2,1972,9,72.0,25.0,2.0,0.0
15086.0,Воскресенье,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15086.0,Вторник,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15086.0,Понедельник,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15086.0,Пятница,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15086.0,Среда,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15086.0,Суббота,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15086.0,Четверг,жилые,10,1972,9,357.0,-1.0,10.0,0.0
15087.0,Воскресенье,жилые,2,1975,16,207.0,7.0,2.0,2.0
15087.0,Вторник,жилые,2,1975,16,207.0,7.0,2.0,2.0
15087.0,Понедельник,жилые,2,1975,16,207.0,7.0,2.0,2.0
15087.0,Пятница,жилые,2,1975,16,207.0,7.0,2.0,2.0
15087.0,Среда,жилые,2,1975,16,207.0,7.0,2.0,2.0
15087.0,Суббота,жилые,2,1975,16,207.0,7.0,2.0,2.0
15087.0,Четверг,жилые,2,1975,16,207.0,7.0,2.0,2.0
15088.0,Воскресенье,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15088.0,Вторник,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15088.0,Понедельник,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15088.0,Пятница,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15088.0,Среда,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15088.0,Суббота,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15088.0,Четверг,жилые,4,1975,12,190.0,-1.0,8.0,0.0
15089.0,Воскресенье,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15089.0,Вторник,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15089.0,Понедельник,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15089.0,Пятница,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15089.0,Среда,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15089.0,Суббота,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15089.0,Четверг,жилые,10,1972,9,358.0,-1.0,10.0,0.0
15090.0,Воскресенье,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15090.0,Вторник,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15090.0,Понедельник,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15090.0,Пятница,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15090.0,Среда,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15090.0,Суббота,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15090.0,Четверг,жилые,4,1973,9,144.0,-1.0,4.0,0.0
15091.0,Воскресенье,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15091.0,Вторник,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15091.0,Понедельник,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15091.0,Пятница,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15091.0,Среда,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15091.0,Суббота,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15091.0,Четверг,жилые,2,1973,9,71.0,-1.0,2.0,0.0
15092.0,Воскресенье,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15092.0,Вторник,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15092.0,Понедельник,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15092.0,Пятница,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15092.0,Среда,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15092.0,Суббота,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15092.0,Четверг,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15093.0,Воскресенье,жилые,6,1973,9,214.0,10.0,6.0,0.0
15093.0,Вторник,жилые,6,1973,9,214.0,10.0,6.0,0.0
15093.0,Понедельник,жилые,6,1973,9,214.0,10.0,6.0,0.0
15093.0,Пятница,жилые,6,1973,9,214.0,10.0,6.0,0.0
15093.0,Среда,жилые,6,1973,9,214.0,10.0,6.0,0.0
15093.0,Суббота,жилые,6,1973,9,214.0,10.0,6.0,0.0
15093.0,Четверг,жилые,6,1973,9,214.0,10.0,6.0,0.0
15094.0,Воскресенье,жилые,6,1974,12,286.0,30.0,12.0,0.0
15094.0,Вторник,жилые,6,1974,12,286.0,30.0,12.0,0.0
15094.0,Понедельник,жилые,6,1974,12,286.0,30.0,12.0,0.0
15094.0,Пятница,жилые,6,1974,12,286.0,30.0,12.0,0.0
15094.0,Среда,жилые,6,1974,12,286.0,30.0,12.0,0.0
15094.0,Суббота,жилые,6,1974,12,286.0,30.0,12.0,0.0
15094.0,Четверг,жилые,6,1974,12,286.0,30.0,12.0,0.0
15095.0,Воскресенье,жилые,4,1973,9,143.0,30.0,4.0,0.0
15095.0,Вторник,жилые,4,1973,9,143.0,30.0,4.0,0.0
15095.0,Понедельник,жилые,4,1973,9,143.0,30.0,4.0,0.0
15095.0,Пятница,жилые,4,1973,9,143.0,30.0,4.0,0.0
15095.0,Среда,жилые,4,1973,9,143.0,30.0,4.0,0.0
15095.0,Суббота,жилые,4,1973,9,143.0,30.0,4.0,0.0
15095.0,Четверг,жилые,4,1973,9,143.0,30.0,4.0,0.0
15096.0,Воскресенье,жилые,2,1973,9,68.0,24.0,2.0,0.0
15096.0,Вторник,жилые,2,1973,9,68.0,24.0,2.0,0.0
15096.0,Понедельник,жилые,2,1973,9,68.0,24.0,2.0,0.0
15096.0,Пятница,жилые,2,1973,9,68.0,24.0,2.0,0.0
15096.0,Среда,жилые,2,1973,9,68.0,24.0,2.0,0.0
15096.0,Суббота,жилые,2,1973,9,68.0,24.0,2.0,0.0
15096.0,Четверг,жилые,2,1973,9,68.0,24.0,2.0,0.0
15097.0,Воскресенье,жилые,2,1973,9,72.0,10.0,2.0,0.0
15097.0,Вторник,жилые,2,1973,9,72.0,10.0,2.0,0.0
15097.0,Понедельник,жилые,2,1973,9,72.0,10.0,2.0,0.0
15097.0,Пятница,жилые,2,1973,9,72.0,10.0,2.0,0.0
15097.0,Среда,жилые,2,1973,9,72.0,10.0,2.0,0.0
15097.0,Суббота,жилые,2,1973,9,72.0,10.0,2.0,0.0
15097.0,Четверг,жилые,2,1973,9,72.0,10.0,2.0,0.0
15098.0,Воскресенье,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15098.0,Вторник,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15098.0,Понедельник,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15098.0,Пятница,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15098.0,Среда,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15098.0,Суббота,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15098.0,Четверг,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15099.0,Воскресенье,жилые,4,1973,9,144.0,10.0,4.0,0.0
15099.0,Вторник,жилые,4,1973,9,144.0,10.0,4.0,0.0
15099.0,Понедельник,жилые,4,1973,9,144.0,10.0,4.0,0.0
15099.0,Пятница,жилые,4,1973,9,144.0,10.0,4.0,0.0
15099.0,Среда,жилые,4,1973,9,144.0,10.0,4.0,0.0
15099.0,Суббота,жилые,4,1973,9,144.0,10.0,4.0,0.0
15099.0,Четверг,жилые,4,1973,9,144.0,10.0,4.0,0.0
15100.0,Воскресенье,жилые,2,1973,9,70.0,25.0,2.0,0.0
15100.0,Вторник,жилые,2,1973,9,70.0,25.0,2.0,0.0
15100.0,Понедельник,жилые,2,1973,9,70.0,25.0,2.0,0.0
15100.0,Пятница,жилые,2,1973,9,70.0,25.0,2.0,0.0
15100.0,Среда,жилые,2,1973,9,70.0,25.0,2.0,0.0
15100.0,Суббота,жилые,2,1973,9,70.0,25.0,2.0,0.0
15100.0,Четверг,жилые,2,1973,9,70.0,25.0,2.0,0.0
15101.0,Воскресенье,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15101.0,Вторник,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15101.0,Понедельник,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15101.0,Пятница,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15101.0,Среда,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15101.0,Суббота,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15101.0,Четверг,жилые,2,1973,9,72.0,-1.0,2.0,0.0
15102.0,Воскресенье,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15102.0,Вторник,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15102.0,Понедельник,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15102.0,Пятница,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15102.0,Среда,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15102.0,Суббота,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15102.0,Четверг,жилые,10,1973,9,358.0,-1.0,10.0,0.0
15104.0,Воскресенье,жилые,1,1972,14,95.0,-1.0,2.0,0.0
